subject_id,resolution_0,resolution_1,resolution_2,origin,filepath,species,sex,channel
ZF7927f,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/female/SW_ZF7927f/downsampled_stacks/025_micron/ds_SW_ZF7927f_210317_111950_25_25_ch03_green.tif,Zebra finch,F,green
ZF0065f,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/female/SW_ZF65f/downsampled_stacks/025_micron/ds_SW_ZF65f_220610_120307_25_25_ch03_chan_3_green.tif,Zebra finch,F,green
ZF8003m,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/male/SW_ZF8003m/downsampled_stacks/025_micron/ds_SW_ZF8003m_210317_204349_25_25_ch03_green.tif,Zebra finch,M,green
ZF8279f,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/female/ZF_8279f/downsampled_stacks/025_micron/ds_ZF_8279f_250522_122056_25_25_ch03_chan_3_green.tif,Zebra finch,F,green
ZF8222f,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/female/ZF_8222f/downsampled_stacks/025_micron/ds_ZF_8222f_250522_122056_25_25_ch03_chan_3_green.tif,Zebra finch,F,green
ZF8761m,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/male/ZF_8761m/downsampled_stacks/025_micron/ds_ZF_8761m_250522_122056_25_25_ch03_chan_3_green.tif,Zebra finch,M,green
ZF8722f,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/female/ZF_8722f/downsampled_stacks/025_micron/ds_ZF_8722f_250526_130020_25_25_ch03_chan_3_green.tif,Zebra finch,F,green
ZF8380m,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/male/ZF_8380m/downsampled_stacks/025_micron/ds_ZF_8380m_250526_130020_25_25_ch03_chan_3_green.tif,Zebra finch,M,green
ZF8719m,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/male/ZF_8719m/downsampled_stacks/025_micron/ds_ZF_8719m_250528_103208_25_25_ch03_chan_3_green.tif,Zebra finch,M,green
ZF8801m,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/male/ZF_8801m/downsampled_stacks/025_micron/ds_ZF_8801m_250528_103208_25_25_ch03_chan_3_green.tif,Zebra finch,M,green
ZF8291f,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/female/ZF_8291f/downsampled_stacks/025_micron/ds_ZF_8291f_250528_103208_25_25_ch03_chan_3_green.tif,Zebra finch,F,green
ZF8542f,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/female/ZF_8542f/downsampled_stacks/025_micron/ds_ZF_8542f_250528_103208_25_25_ch03_chan_3_green.tif,Zebra finch,F,green
ZF8685f,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/female/ZF_8685f/downsampled_stacks/025_micron/ds_ZF_8685f_250602_112648_25_25_ch03_chan_3_green.tif,Zebra finch,F,green
ZF8691m,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/male/ZF_8691m/downsampled_stacks/025_micron/ds_ZF_8691m_250602_112648_25_25_ch03_chan_3_green.tif,Zebra finch,M,green
ZF8838m,25,25,25,PSL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/male/ZF_8838m/downsampled_stacks/025_micron/ds_ZF_8838m_250718_113842_25_25_ch03_chan_3_green.tif,Zebra finch,M,green
ZF8755m,25,25,25,SAL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/male/ZF_8755m_trans/downsampled_stacks/025_micron/ds_ZF_8755m_trans_250728_110641_25_25_ch03_chan_3_green.tif,Zebra finch,M,green
ZF8686m,25,25,25,ASR,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/male/ZF_8686m/downsampled_stacks/025_micron/ds_ZF_8686m_250729_131222_25_25_ch03_chan_3_green.tif,Zebra finch,M,green
ZF_8843m,25,25,25,SAL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/male/ZF_8843m_trans/downsampled_stacks/025_micron/ds_ZF_8843m_260415_112918_25_25_ch03_chan_3_green.tif,Zebra finch,M,green
ZF_8786m,25,25,25,SAL,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/male/ZF_8786m_trans/downsampled_stacks/025_micron/ds_ZF_8786m_260415_112918_25_25_ch03_chan_3_green.tif,Zebra finch,M,green
ZF_8910f,25,25,25,ILP,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/female/ZF_8910f_trans/downsampled_stacks/025_micron/ds_ZF_8910f_260429_132921_25_25_ch03_chan_3_green.tif,Zebra finch,F,green
ZF_8913f,25,25,25,ILP,/media/ceph/margrie/sweiler/RawData/Tracing_Imaging/serial2p/Bird_brains/zebra_finch_atlas/female/ZF_8913f_trans/downsampled_stacks/025_micron/ds_ZF_8913f_260429_132921_25_25_ch03_chan_3_green.tif,Zebra finch,F,green
